x	lag	newt	canon
0.68	0.80866	0.80866	0.80866
0.696316	0.836016	0.836016	0.836016
0.712632	0.86412	0.86412	0.86412
0.728947	0.893026	0.893026	0.893026
0.745263	0.922788	0.922788	0.922788
0.761579	0.953461	0.953461	0.953461
0.777895	0.985104	0.985104	0.985104
0.794211	1.01778	1.01778	1.01778
0.810526	1.05157	1.05157	1.05157
0.826842	1.08653	1.08653	1.08653
0.843158	1.12275	1.12275	1.12275
0.859474	1.16032	1.16032	1.16032
0.875789	1.19934	1.19934	1.19934
0.892105	1.23992	1.23992	1.23992
0.908421	1.28218	1.28218	1.28218
0.924737	1.32625	1.32625	1.32625
0.941053	1.37226	1.37226	1.37226
0.957368	1.42039	1.42039	1.42039
0.973684	1.4708	1.4708	1.4708
0.99	1.52368	1.52368	1.52368
